"The email address you entered is invalid.","Ihre eingegebene E-Mail Adresse ist ungültig."
"Your account is locked due to too many failed login attempts.","Ihr Konto wurde aufgrund zu vieler fehlerhafter Login-Versuche leider gesperrt."
"Login failed.","Login fehlgeschlagen."
"For a secure password, use a password which is longer than 6 characters, which is not identical<br /> with the e-mail address and contains numbers or special characters.","Ein sicheres Passwort muss mindestens 6 Zeichen lang sein, darf keine bereits bekannten Namensbestandteile beinhalten und sollte ggf. Zahlen oder Sonderzeichen verwenden. Darüber hinaus dürfen der Loginname und das Passwort nicht identisch sein."
"Your email and password can not be equal.","Ihre Email Adresse darf nicht mit dem Passwort übereinstimmen."
"Unlock customer","Kunden entsperren"
"Lock after x attempts","Nach x Versuchen sperren"
"Lock account after x failed login attempts","Sperre Account nach x fehlgeschlagenen Login-Versuchen"
"Lock attempt span","Versuchs-Zeitraum"
"Time period in seconds in which these attempts have to be","Zeitraum in Sekunden, in dem diese Versuche sein müssen"
"Lock time","Sperrzeit"
"Lock the account for x seconds","Sperre das Konto für x Sekunden"